Project,Scenario,Dollar_year,Weather_year,Start_day,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambium24,allScenarios,2023$,2012,Sunday,usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,Geography,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Energy Capacity,Energy Capacity,Energy Capacity
unitless,unitless,unitless,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,MW/MW,$/MW,MW,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MWh,MWh,MWh
scenario,gea,t,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,total_gen_co2_c,total_gen_ch4_c,total_gen_n2o_c,total_gen_co2_p,total_gen_ch4_p,total_gen_n2o_p,total_gen_co2e_c,total_gen_co2e_p,total_gen_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh,battery_MW,biomass_MW,coal_MW,csp_MW,distpv_MW,gas-cc_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,upv_MW,wind-ofs_MW,wind-ons_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh
MidCase,CAISO,2025,302088420,20048800,3358794,1199052.5,326695070,291230391.5,213373070,25738780,481645.6,0.0359,0.0539,0.12,144208.72,69792.5,132.2,2.5,0.25,16.8,1230.9,0.07,132.3,53.5,185.8,141.5,3,0.32,17.7,1293.4,0.08,141.6,56.2,197.9,228.3,6.7,0.83,25.1,1904.4,0.12,228.8,81.8,310.6,516.7,21,2.76,51.3,3905.5,0.26,518,167.7,685.8,39836261.5,755.8,76.5,5052565.1,371031.8,22.1,39879682.3,16115341.1,55995023.4,39.36,26.69,0,66.05,42.15,30.99,0,73.14,0,0,0,301437920,113322000,17032912,4835026,0,0,0,24006458,97282664,3806885.5,14791661,29476804,17891704,327695.4,2670589.2,68728720,20586816,0,13651.7,749.1,0,0,14254.5,19797,11040.1,1986.3,10220.7,2240,1033.5,3911.9,24846.3,0,6968.7,54606.8,31295.2,0
MidCase,CAISO,2030,338845600,23465994,11268551,1405908,374986050,326665887.5,212934540,31766214,1464413.8,0.0359,0.0539,0.12,144202.41,77478.1,108.8,2.1,0.21,13.4,817.4,0.05,108.9,37.8,146.7,118,2.5,0.26,14.4,873.4,0.06,118.1,40.4,158.5,126.1,2.7,0.29,14.6,933.6,0.06,126.3,42.5,168.8,460.7,23,3.09,41.5,2661.4,0.21,462.2,120.9,583.1,37502279,712.5,72.3,4611875.1,281728.9,17.5,37543256.3,13012183.6,50555439.9,28.84,26.41,0,55.25,31.37,31.4,0,62.77,11157.1,594630.8,606700.1,344684220,162051500,19932980,4655301.5,0,0,0,27880570,93337360,3263609.5,21292942,30795188,0,339174.4,9016187,95864450,38165268,141214.1,14526.4,724.7,0,0,16545,22095,10927.5,2878.3,10705.1,0,614.6,5111.9,35072.9,60,12497.3,58105.7,40895.2,0
MidCase,CAISO,2035,403000160,41614540,12889831,1969321.8,459473860,388514547.3,235192740,45636510,2572328.5,0.0359,0.0539,0.12,94236.95,89524.5,72.5,1.4,0.14,8.8,545.5,0.03,72.6,25,97.7,63.9,1.2,0.12,7.8,480.7,0.03,64,22.1,86.1,49.6,0.9,0.1,5.9,371.4,0.02,49.6,16.9,66.5,327.5,6.3,0.65,38.8,2441.6,0.15,327.8,111.6,439.4,30209687.7,572.8,57.9,3649926.5,227154.6,13.7,30242576.5,10422884.5,40665461,28.9,16.57,0,45.48,32.1,20.28,0,52.38,96332.5,2635069.8,2744557.5,416409660,224281120,35333456,2293102.8,0,0,0,26830626,75889050,2298422.2,33280298,32512512,0,212003.6,10309717,140559500,40659252,16231731,25706.4,404,0,0,15924.8,21985,10531.6,4689.7,11240.2,0,614.6,5111.9,51056.6,3683,12885.4,102825.7,40895.2,0
MidCase,CAISO,2040,459452320,59584280,13363807,2584197.2,534984600,442936919.5,264970270,60879330,3716187.2,0.0359,0.0539,0.12,138725.04,104375.7,62.1,1.2,0.12,7.5,468.4,0.03,62.2,21.4,83.6,42.7,0.8,0.08,5.2,322.4,0.02,42.8,14.8,57.6,35.8,0.7,0.07,4.2,270.1,0.02,35.8,12.3,48.1,317.8,6,0.62,37.6,2383.1,0.14,318.1,108.6,426.8,29682608.8,560.4,56.2,3572391.1,223803.8,13.2,29714662.3,10245359.9,39960022.2,28.89,24.45,0,53.34,32.54,30.59,0,63.12,249761.6,3445190.5,3704959.2,477821440,270014300,50599100,1946912.2,0,0,0,26847772,77152376,1244699.1,33615412,32514404,0,68979.9,10665249,168725490,41499124,32941936,36829.1,357,0,0,15944.1,23749.5,10711.1,4736.2,11240.9,0,169.2,5111.9,61435.9,7602,12897.1,147316.4,40895.2,0
MidCase,CAISO,2045,519194720,77558520,14032742,2774183.8,613560200,500531791.5,322378370,76578456,5460055,0.0359,0.0539,0.12,126624.43,119229.3,47.2,0.9,0.09,5.7,355.8,0.02,47.2,16.3,63.5,21.6,0.4,0.04,2.6,163.3,0.01,21.7,7.5,29.2,17.3,0.3,0.03,2,130,0.01,17.3,5.9,23.2,293.8,5.6,0.56,34.7,2210.7,0.13,294.1,100.6,394.8,25588459.9,482.9,48.4,3088533.1,192993.8,11.4,25616072,8842873.7,34458945.6,26.03,22.41,0,48.44,29.81,28.49,0,58.3,155607,4893799.5,5084449,542441800,291181800,65899210,1946912.2,0,0,0,27252186,67227900,799444.8,71611400,32513860,0,46956,11214305,198066100,32613114,33250410,48194,357,0,0,16196.3,23128.5,9476.3,9931.8,11240.9,0,166.4,5287.2,72222.7,7602,11063.3,193169,42297.7,0
MidCase,CAISO,2050,571970240,90560230,13621317,2919778.5,679071550,551410387.5,352931970,92794290,5147784.5,0.0359,0.0539,0.12,141980.66,132836.7,44.1,0.8,0.08,5.3,332.8,0.02,44.2,15.2,59.4,21.5,0.4,0.04,2.6,162.1,0.01,21.5,7.4,28.9,19.5,0.4,0.04,2.3,147.2,0.01,19.6,6.7,26.3,287.5,5.4,0.55,34,2164.6,0.13,287.9,98.5,386.4,26092151.9,492.3,49.3,3147931.1,196835.8,11.6,26120289,9016818.9,35137107.9,24.33,25.33,0,49.67,27.98,32.37,0,60.35,145711.4,5088006,5239836.5,591425000,326139600,76959630,1946912.2,0,0,0,28507356,69709976,517853.4,72699970,32513996,0,36301.2,10900823,218374110,45900930,33357164,54265.1,357,0,0,16938,24320.1,10343.3,9955.1,11240.9,0,166.4,5287.2,79203.1,7602,14083.6,228630.7,42297.7,0
MidCase,ERCOT,2025,425158500,8168517,3672.7,4366699,437697380,409876104.3,220415650,412059.4,1208316.6,0.0359,0.0539,0.12,103722.2,98005.9,235.2,17.4,2.45,17,1217.6,0.13,236.3,53.3,289.6,249.7,18.5,2.6,18,1293.2,0.14,250.9,56.6,307.5,409.1,15.5,1.99,41.5,3209.1,0.19,410.1,137.2,547.3,604.9,38.4,5.42,48.2,3422.8,0.35,607.5,150.3,757.8,103114108.1,7632.2,1075.9,7432814.5,533921.2,58.3,103635272,23359594.2,126994866.2,33.28,20,0,53.28,35.4,22.06,0,57.46,570044.5,609095.2,1179139.8,438493630,217281740,6917605,599889.2,0,59364376,0,4564623,111167850,1233917.6,0,656955.2,39777090,1491274.6,2946.4,85544104,127173010,0,7596.7,100.6,14254.2,0,2951.8,36165.7,8767.2,0,562.7,4980,9669,5,34348.9,0,37044.2,30386.6,40,0
MidCase,ERCOT,2030,464480770,14963680,7243,5355557,484807230,447784204.1,155986380,584198.8,2028334.8,0.0359,0.0539,0.12,103694.49,104592.7,98.2,4.3,0.57,10.2,595.7,0.06,98.5,28,126.4,106,4.7,0.62,11,643.2,0.07,106.3,30.2,136.5,151.2,5.3,0.66,15.8,996.3,0.07,151.5,45.5,197,398.2,17.5,2.37,38.8,2335.1,0.22,399.3,108.5,507.8,47740415.2,2102.8,278.5,4950990.5,289679,31.2,47879118.4,13591944.8,61471063.2,21.68,19.11,0,40.8,23.43,21.31,0,44.74,15093443,22352392,37445836,486251420,328820860,12644303,599889.2,0,12346780,0,10537535,88840970,1395848.5,0,636228.2,39777090,1183618.5,5793.5,127855310,190428020,0,10412.5,100.6,11350.2,0,6852.1,37220.3,8446,0,562.7,4980,7439,5,58284.9,0,51520.2,41649.9,40,0
